service_name,service_category
"Fade, Beard Trim, Line Up",Barber
Crochet (bulk hair),Braids
Loc Maintenance w/demi color,Natural Hair
Buns & Ponytails,Style
"Full Leg Wax, Under arms",Waxing
"Cut & Blowdry, Womens Cut",Women's Haircut
"AHB DOUBLE PROCESS COLOR, AHB CUT",Hair Color
"Gel Overlay, Chrome Nails",Manicure
"Men's Cut, Arch Wax","Men's Haircut, Eyebrows"
"Root Touch Up, Blowout, Hair Glaze Treatment, Partial Foil Highlights","Hair Color, Style, Hair Treatments, Highlights"
"Partial weave, Processing fee",Weaves
"Manicure - Soak Off / Removal, Acrylic Nails",Manicure
"Full foil/color & haircut, Brazilian blowout",Straightening Treatments
lemonade braids,Braids
"Quickweave Takedown, Quick-Weaves",Weaves
Specialty Natural Style,Natural Hair
"Full Head Highlights + Gloss, Lash Extensions - Full + Natural",Eyelashes
"Root Touch Up double process, Loc maintenance and creative style",Hair Color
"Demi, Full sewin, Weave TakeDown",Weaves
Women's haircut,Barber
"All Over Color, Ladies Haircut",Hair Color
"Full Highlights, Toner, Bonding Treatment, Women's Cut","Highlights, Hair Color, Women's Haircut"
Retail,Hair Treatments
Keratherapy,Straightening Treatments
"partial highlight, womens wet cut, Eyebrow wax",Eyebrows
6-8  Stitch Braids|Small braids in between,Braids
"Updo/Curling/Flat Ironing, Strip Lashes",Eyelashes
"Lash Perm, Lash Tint, Collagen Eye Mask",Eyelashes
"Classic Fill, Lash Tint",Eyelashes
Men's Trim,Men's Haircut
"Full Leg, Underarms",Waxing
"Full foil highlights, Haircut & Style, Toner, Deep conditioner, Extra color","Highlights, Hair Color"
"Partial Relaxer Retouch/Style, Semi permanent color, Cut",Hair Color
"Silk Press & Curl, Hair Trim, Eyebrow Wax","Natural Hair, Women's Haircut"
Sew- In Restyle (Curls or Straighten ONLY),Style
"Dermaplaning, Brow Wax and Shape, Brazilian Bikini",Skincare
"Cluster nail, Fullset",Extensions
"Box Braids (Small, Medium, Jumbo) Read description for size prices",Braids
"Regular Filling, Additional gel polish with acrylic, Spa Pedicure",Pedicure
"Thermal  Straightening, Hydrating Strengthening Therapy, Trim","Natural Hair, Hair Treatments, Women's Haircut"
Men's Taper Fade,Men's Haircut
4 Large Braids $20 deposit required,Braids
"repair/replace false nails, Free hand nail designs, Polish change",Manicure
"Full Leg Wax, Underarm Wax, Booty Wax",Waxing
"Base retouch, Women's Cut, EA",Women's Haircut
"Classic Pedicure, Women's Cut",Women's Haircut
Lash lift and tint,Eyelashes
"Remove Sew-in Weave, Trim, Silk press (Natural Hair)",Natural Hair
"Relaxer (Retouch, short-medium hair), Temporary Color",Relaxers
Balayage & Haircut,Highlights
"Facility Trim Nails, Facility  Mani",Pedicure
"Highlighting Full, Gel Nail Fill","Hair Color, Highlights, Women's Haircut"
Bring your Bestie Special ( 2 for $100),Makeup
"Updo, Shampoo and Style",Sets & Styles
"Silk  Press/Silk Wrap, Trim, All Over Color","Sets & Styles, Women's Haircut, Hair Color"
Refined Gentleman's Cut,"Barber, Men's Haircut"
"Full Balayage, Blow dry with color",Highlights
"Color Re-Touch, Toner",Hair Color
"Brazilian Wax, Brow Shaping, Brow Tint","Waxing, Eyebrows"
"Takedown, Shampoo, Steam Treatment, Style","Natural Hair, Style"
Brazilian wax ( women only),Waxing
Shoulder Length Retwist & Style,Locs
